profile_id,year,id,wtssps,age,sex,racecen1,hispanic,degree,income16,hompop,class,region,srcbelt,partyid,polviews,relig,reborn,reliten,consci
p00001,2018,1063,0.6248000017947034,32,female,white,not hispanic,high school,"$50,000 to $59,999",5,working class,midwest,suburbs of the remaining 100 largest smsas,"independent, close to republican",conservative,protestant,yes,strong,NA
p00002,2021,4275,1.3277172680851619,64,female,white,not hispanic,high school,"$30,000 to $34,999",3,working class,west,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",christian,yes,NA,only some
p00003,2024,2873,3.5402583971628583,38,female,white,not hispanic,bachelor's,"$75,000 to $89,999",6,working class,west,NA,not very strong republican,slightly conservative,protestant,yes,NA,NA
p00004,2018,1875,1.6150066101272649,36,female,white,not hispanic,high school,"$75,000 to $89,999",4,working class,south,"other urban (counties having towns of 10,000 or more)","independent, close to republican","moderate, middle of the road",protestant,yes,strong,only some
p00005,2022,782,1.1889610751351838,58,female,white,not hispanic,high school,"$130,000 to $149,999",NA,middle class,south,suburbs of 12 largest smsas,strong republican,conservative,protestant,yes,NA,NA
p00006,2018,241,5.23476266531726,58,female,white,not hispanic,associate/junior college,"$75,000 to $89,999",2,working class,west,central city of the remainder of the 100 largest smsas,not very strong republican,"moderate, middle of the road",protestant,yes,strong,only some
p00007,2024,2051,1.386725631908031,58,female,white,not hispanic,high school,"$40,000 to $49,999",NA,middle class,midwest,NA,not very strong republican,conservative,protestant,yes,somewhat strong (vol.),a great deal
p00008,2022,789,0.5789633021576481,68,male,white,not hispanic,bachelor's,"$110,000 to $129,999",2,working class,south,central city of 12 largest smsas,not very strong republican,slightly conservative,protestant,no,NA,only some
p00009,2021,54,2.775570716651687,57,male,asian,not hispanic,graduate,"$110,000 to $129,999",6,working class,west,central city of 12 largest smsas,not very strong democrat,slightly conservative,none,NA,NA,NA
p00010,2018,1600,0.795485722355124,55,female,white,not hispanic,high school,"$35,000 to $39,999",2,working class,south,"other urban (counties having towns of 10,000 or more)",not very strong democrat,slightly liberal,protestant,yes,strong,a great deal
p00011,2018,394,7.12344742777102,24,female,asian,not hispanic,graduate,"$7,000 to $7,999",5,middle class,northeast,central city of 12 largest smsas,"independent, close to democrat",extremely liberal,none,no,no religion,a great deal
p00012,2018,883,0.6319251820217893,25,female,white,not hispanic,high school,"$22,500 to $24,999",3,lower class,midwest,suburbs of the remaining 100 largest smsas,"independent (neither, no response)",liberal,christian,no,strong,NA
